S#,Location,Date,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude,city,state
125,"Cottonwood, Alabama",3/15/2015,3,1,3,No,White,Male,31.054968699999996,-85.30100084,Cottonwood, Alabama
126,"Brookhaven, Mississippi",3/13/2015,2,3,5,,Black,Male,31.58036482,-90.44323475,Brookhaven, Mississippi
127,"Tarboro, North Carolina",2/28/2015,4,0,3,Yes,Black,Male,35.90434471,-77.55639964,Tarboro, North Carolina
128,"Birmingham, Alabama",2/27/2015,1,2,3,No,Black,Male,33.5282865,-86.79550448,Birmingham, Alabama
129,"Tyrone, Missouri",2/26/2015,8,1,8,No,White,Male,37.204442,-91.876583,Tyrone, Missouri
130,"Charlotte, North Carolina",2/24/2015,3,0,3,No,Other,Male,35.226354,-80.836788,Charlotte, North Carolina
131,"Clarkesville, Georgia",2/22/2015,3,2,4,No,White,Male,34.61025711,-83.52918091,Clarkesville, Georgia
132,"Killeen, Texas",2/22/2015,4,1,4,No,Black,Male,31.07925506,-97.73392317,Killeen, Texas
133,"Chapel Hill, North Carolina",2/10/2015,3,0,3,No,White,Male,35.92681467,-79.03850407,Chapel Hill, North Carolina
134,"New Port Richey, Florida",2/9/2015,3,1,4,No,,,28.24653304,-82.71690259,New Port Richey, Florida
135,"Monroeville, Pennsylvania",2/7/2015,0,3,3,No,Black,Male,40.425745500000005,-79.76092565,Monroeville, Pennsylvania
136,"Douglasville, Georgia",2/7/2015,5,2,6,No,Black,Male,33.71059292,-84.71564276,Douglasville, Georgia
137,"King, North Carolina",2/4/2015,4,0,3,,White,Male,36.27617912,-80.35501402,King, North Carolina
138,"Syracuse, New York",2/1/2015,0,6,6,No,Black,Male,43.04093416,-76.14376763,Syracuse, New York
139,"LaGrange, Georgia",1/28/2015,5,0,5,No,White,Male,33.03607062,-85.0287065,LaGrange, Georgia
140,"New York City, New York",1/24/2015,4,1,4,No,Black,Male,40.68996411,-73.8720502,New York City, New York
141,"Omaha, Nebraska",1/24/2015,3,5,8,No,Black,Male,41.265921999999996,-96.05381421,Omaha, Nebraska
142,"Moscow, Idaho",1/10/2015,3,1,4,No,Asian,Male,46.73059479,-116.99900420000002,Moscow, Idaho
143,"Memphis, Tennessee",1/1/2015,0,5,5,No,Black,Male,35.10528976,-89.97734924,Memphis, Tennessee
144,"Pennsburg, Souderton, Lansdale, Harleysville, Pennsylvania",12/15/2014,7,1,7,Yes,White,Male,40.39359306,-75.49640881,Pennsburg,Pennsylvania
145,"Morgantown, West Virginia",12/1/2014,5,0,4,No,White,Male,39.63400851,-79.94839325,Morgantown, West Virginia
146,"Tallahassee, Florida",11/19/2014,1,3,3,Yes,Black,Male,30.454939399999997,-84.25264151,Tallahassee, Florida
147,"Marysville, Washington",10/24/2014,5,1,5,No,Native American,Male,48.04802409,-122.1359622,Marysville, Washington
148,"Albuquerque, New Mexico",8/8/2014,2,3,4,No,Other,Male,35.15290522,-106.7791378,Albuquerque, New Mexico
149,"New Orleans, Louisiana",6/29/2014,1,9,10,No,Two or more races,Male,30.0687242,-89.93147412,New Orleans, Louisiana
150,"Las Vegas, Nevada",6/8/2014,5,0,3,No,White,,36.18931923,-115.3264875,Las Vegas, Nevada
151,"Seattle, Washington",6/5/2014,1,2,3,Yes,Other,Male,47.62199575,-122.323646,Seattle, Washington
152,"Santa Barbara, California",5/23/2014,6,13,19,Yes,White,Male,,,Santa Barbara, California
153,"Kennesaw, Georgia",4/29/2014,1,6,6,No,White,Male,34.02529674,-84.61766831,Kennesaw, Georgia
154,"Fort Hood, Texas",4/3/2014,3,12,15,,Latino,Male,,,Fort Hood, Texas
155,"Killeen, Texas",4/2/2014,4,16,19,Yes,Other,Male,31.07925506,-97.73392317,Killeen, Texas
156,"San Francisco, CA",3/23/2014,0,8,8,No,Black,Male,37.75457839,-122.44243429999999,San Francisco, CA
157,"Alturas, California",2/20/2014,4,2,6,No,Native American,Female,41.4911123,-120.54909099999999,Alturas, California
158,"Montgomery, Alabama",12/28/2013,3,5,8,No,Black,Male,32.34729571,-86.26730242,Montgomery, Alabama
159,"Los Angeles, California",11/1/2013,1,3,4,No,White,Male,34.17622092,-118.53995420000001,Los Angeles, California
160,"Sparks, Nevada",10/21/2013,2,2,3,,Other,Male,39.54058388,-119.748291,Sparks, Nevada
161,Washington D.C.,9/16/2013,13,3,15,Yes,Black,Male,38.90480894,-77.01629717,,
162,"Oklahoma City, Oklahoma",8/14/2013,4,0,4,Yes,White,Male,35.46779189,-97.5191631,Oklahoma City, Oklahoma
163,"Dallas, Texas",8/7/2013,4,4,8,,Black,Male,32.79480596,-96.76631094,Dallas, Texas
164,"Salisbury , Pennsylvania",8/5/2013,3,3,6,No,White,Male,39.75344279,-79.08435956,Salisbury , Pennsylvania
165,"Hialeah, Florida",7/26/2013,7,0,7,,Latino,Male,25.867010500000003,-80.29146268,Hialeah, Florida
166,"Santa Monica, California",6/7/2013,6,3,8,Yes,White,Male,34.02319149,-118.48156440000001,Santa Monica, California
167,"Manchester, Illinois",4/24/2013,7,1,7,,White,Male,39.54231335,-90.33029852,Manchester, Illinois
168,"Federal Way, Washington",4/21/2013,5,0,4,,Black,Male,47.30909721,-122.3357553,Federal Way, Washington
169,"Mohawk, New York",3/13/2013,5,2,6,No,White,Male,43.0104011,-75.00751190000001,Mohawk, New York
170,"Ladera Ranch, California",2/19/2013,4,3,6,Yes,White,Male,33.54961059,-117.64157069999999,Ladera Ranch, California
171,"Irvine, California",2/3/2013,4,2,7,Yes,Black,Male,33.67803464,-117.773628,Irvine, California
172,"Phoenix, Arizona",1/30/2013,3,1,3,,White,Male,33.57145875,-112.0904854,Phoenix, Arizona
173,"South Valley, Albuquerque, New Mexico",1/19/2013,5,0,5,Yes,Other,Male,35.15290522,-106.7791378,South Valley,NM
174,"Newtown, Connecticut",12/14/2012,28,2,29,Yes,White,Male,41.41190846,-73.31196267,Newtown, Connecticut
175,"Happy Valley, Oregon",12/11/2012,3,1,3,No,Other,Male,45.44853107,-122.54401329999999,Happy Valley, Oregon
176,"Brookfield, Wisconsin",10/21/2012,4,4,7,No,Black,Male,43.06396691,-88.12299758,Brookfield, Wisconsin
177,"Miami, Florida",9/28/2012,0,15,15,,Black,Male,25.79653943,-80.20840397,Miami, Florida
178,"Minneapolis, Minnesota",9/27/2012,7,2,8,Yes,White,Male,44.96358722,-93.26783687,Minneapolis, Minnesota
179,"Oak Creek, Wisconsin",8/5/2012,7,4,10,No,White,Male,42.88027442,-87.90087079,Oak Creek, Wisconsin
180,"Aurora, Colorado",7/20/2012,12,70,82,Yes,White,Male,39.709283,-104.823488,Aurora, Colorado
181,"Auburn, Alabama",6/9/2012,3,3,6,,Black,Male,32.60598014,-85.48989253,Auburn, Alabama
182,"Seattle, Washington",5/30/2012,6,1,6,Yes,White,Male,47.62199575,-122.323646,Seattle, Washington
183,"Seattle, Washington",5/20/2012,6,1,7,Yes,White,Male,47.6038321,-122.3300624,Seattle, Washington
184,"Tulsa, Oklahoma",4/6/2012,3,2,5,No,White,Male,36.13543238,-95.91316117,Tulsa, Oklahoma
185,"Oakland, California",4/2/2012,7,3,10,Yes,Asian,Male,37.8043808,-122.2708166,Oakland, California
186,"Chardon, Ohio",2/27/2012,3,3,6,Yes,White,Male,41.58025541,-81.20812625,Chardon, Ohio
187,"Norcross, Georgia",2/22/2012,5,0,5,Yes,Asian,Male,33.9412127,-84.2135309,Norcross, Georgia
188,"Birmingham, Alabama",1/29/2012,5,0,5,No,Black,Male,33.5282865,-86.79550448,Birmingham, Alabama
189,"Seal Beach, California",10/12/2011,8,1,9,Yes,White,Male,33.75432632,-118.0715378,Seal Beach, California
190,"Carson City, Nevada",9/6/2011,5,7,12,Yes,Latino,Male,39.1637984,-119.76740339999999,Carson City, Nevada
191,"Grand Rapids, Michigan",7/7/2011,8,2,9,Yes,Black,Male,42.96920434,-85.66008902,Grand Rapids, Michigan
192,"Opelika, Alabama",4/6/2011,1,3,4,Yes,White,Male,32.66240106,-85.37706931,Opelika, Alabama
