S#,Location,Date,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude,city,state
246,"Conyers, Georgia",5/20/1999,0,6,6,No,White,Male,33.66086267,-84.02688527,Conyers, Georgia
247,"Littleton, Colorado",4/20/1999,15,24,37,Yes,White,Male,39.59358263,-105.0152112,Littleton, Colorado
248,"Riverside, California",10/6/1998,0,6,6,No,Black,Male,33.93814348,-117.3948409,Riverside, California
249,"Springfield, Oregon",5/21/1998,4,25,29,Yes,White,Male,44.05489698,-123.0075562,Springfield, Oregon
250,"Edinboro, Pennsylvania",4/24/1998,1,3,4,Yes,White,Male,41.87617136,-80.12459632,Edinboro, Pennsylvania
251,"Jonesboro, Arkansas",3/24/1998,5,10,15,No,White,Male,35.8209895,-90.6682606,Jonesboro, Arkansas
252,"Newington, Connecticut",3/6/1998,5,0,4,Yes,White,Male,41.68700845,-72.73083927,Newington, Connecticut
253,"Milwaukee, Wisconsin",12/19/1997,2,2,3,No,Black,Male,43.06420322,-87.96724385,Milwaukee, Wisconsin
254,"Orange, California",12/18/1997,5,2,6,No,Other,Male,33.78935598,-117.820412,Orange, California
255,"West Paducah, Kentucky",12/1/1997,3,5,8,Yes,White,Male,37.08506,-88.74422,West Paducah, Kentucky
256,"Pearl, Mississippi",10/1/1997,2,7,9,Yes,White,Male,32.27492783,-90.09470655,Pearl, Mississippi
257,"Aiken, South Carolina",9/15/1997,4,3,7,No,Black,Male,33.47524551,-81.72595949,Aiken, South Carolina
258,"Bethel, Alaska",2/19/1997,2,2,4,Yes,White,Male,60.79053882,-161.7927517,Bethel, Alaska
259,"San Diego, California",8/15/1996,3,0,3,No,White,Male,32.86357277,-117.1281628,San Diego, California
260,"Fort Lauderdale, Florida",2/9/1996,6,1,7,Yes,Black,Male,26.122308399999998,-80.14337859999999,Fort Lauderdale, Florida
261,"Moses Lake, Washington",2/2/1996,3,1,4,Yes,White,Male,47.12189424,-119.2750699,Moses Lake, Washington
262,"Lynnville, Tennessee",11/15/1995,2,1,3,Yes,White,Male,35.37810374,-87.00610559,Lynnville, Tennessee
263,"Corpus Christi, Texas",4/3/1995,6,0,5,No,,Male,27.73907518,-97.43073352,Corpus Christi, Texas
264,"Montclair, New Jersey",3/21/1995,4,1,5,No,White,Male,40.826184000000005,-74.20862,Montclair, New Jersey
265,"Chapel Hill, North Carolina",1/26/1995,2,2,4,Yes,White,Male,35.92681467,-79.03850407,Chapel Hill, North Carolina
266,"Brookline, Massachusetts",12/30/1994,2,5,7,Yes,White,Male,42.32427392,-71.14080012,Brookline, Massachusetts
267,"Wickliffe, Ohio",11/7/1994,1,3,4,Yes,White,Male,41.60713735,-81.46902046,Wickliffe, Ohio
268,"Fairchild Air Force Base, Washington",6/20/1994,5,23,27,Yes,White,Male,47.618456,-117.644099,Fairchild Air Force Base, Washington
269,"Union, Kentucky",5/26/1994,4,0,4,No,White,Male,38.95130818,-84.67066339,Union, Kentucky
270,"Chelsea, Michigan",12/16/1993,1,2,3,Yes,White,Male,42.31319376,-84.01868108,Chelsea, Michigan
271,"Aurora, Colorado",12/14/1993,4,1,5,Yes,Black,Male,39.69892933,-104.7871863,Aurora, Colorado
272,"Garden City, New York",12/7/1993,6,19,25,No,Black,Male,40.72662266,-73.644712,Garden City, New York
273,"Sheridan, Wyoming",9/17/1993,1,4,4,No,White,Male,44.79051074,-106.9599165,Sheridan, Wyoming
274,"Fayetteville, North Carolina",8/6/1993,4,8,12,No,White,Male,35.07997086,-79.03796125,Fayetteville, North Carolina
275,"Ogden, Utah",7/8/1993,1,3,3,No,Asian,Male,41.2281367,-111.96753170000001,Ogden, Utah
276,"San Francisco, California",7/1/1993,9,6,14,No,White,Male,37.75457839,-122.44243429999999,San Francisco, California
277,"Dearborn, Michigan",5/6/1993,2,2,3,,,Male,42.31269522,-83.21293244,Dearborn, Michigan
278,"Dana Point, California",5/6/1993,1,5,6,Yes,White,Male,33.47316083,-117.696399,Dana Point, California
279,"Great Barrington, Massachusetts",12/14/1992,2,4,6,No,Asian,Male,42.19358268,-73.36216339,Great Barrington, Massachusetts
280,"Watkins Glen, New York",10/15/1992,5,0,4,No,White,Male,42.38013875,-76.86724659,Watkins Glen, New York
281,"Amarillo, Texas",9/11/1992,0,6,6,,,Male,35.18322484,-101.88056879999999,Amarillo, Texas
282,"Olivehurst, California",5/1/1992,4,10,14,Yes,White,Male,39.08174985,-121.55495390000002,Olivehurst, California
283,"Royal Oak, Michigan",11/14/1991,5,5,9,Yes,White,Male,42.50840203,-83.15387427,Royal Oak, Michigan
